Study_Hours,Sleep_Hours,Social_Media_Hours,Exercise_Hours,Attention_Level,Marks
5.5,9.1,1.4,1.5,9.0,80.9
4.2,8.4,2.4,2.0,10.0,84.7
5.8,7.1,1.2,0.0,9.0,89.2
7.5,6.0,1.8,2.0,7.0,96.8
4.0,8.0,0.0,0.5,9.0,81.9
4.0,7.6,2.9,0.5,7.0,74.5
7.7,8.3,2.2,0.0,8.0,97.1
6.0,8.0,1.2,0.0,8.0,82.9
3.6,8.6,3.6,1.0,8.0,75.6
5.6,6.2,3.8,0.5,8.0,74.2
3.6,9.0,0.2,0.0,7.0,63.5
3.6,7.3,1.5,1.0,6.0,75.0
5.0,10.0,1.3,0.0,6.0,80.6
0.7,6.0,1.5,0.5,4.0,47.7
1.1,9.6,4.1,0.5,6.0,44.5
3.4,7.3,2.4,1.5,8.0,71.3
2.5,6.0,2.4,1.5,6.0,63.1
5.1,6.3,0.0,0.5,9.0,81.1
2.7,6.5,3.7,0.5,7.0,60.5
1.7,7.6,1.0,0.5,4.0,58.0
7.4,7.8,2.3,1.5,9.0,100.0
4.0,6.1,3.0,0.5,9.0,75.9
4.6,7.0,4.6,0.0,5.0,72.0
1.7,10.0,0.9,0.0,10.0,59.3
3.4,9.6,0.0,0.5,7.0,77.2
4.7,7.7,2.8,0.5,8.0,76.0
2.2,7.1,5.5,1.5,5.0,57.0
5.3,7.2,4.3,0.0,4.0,69.1
3.3,7.9,3.0,0.5,7.0,75.4
3.9,5.5,1.9,1.5,7.0,71.7
3.3,6.6,3.9,1.5,6.0,70.1
8.2,4.5,0.7,0.5,5.0,95.3
4.5,7.6,3.3,0.5,7.0,74.8
2.4,8.0,3.5,0.5,8.0,64.2
6.1,6.3,4.0,1.5,7.0,81.9
2.1,9.4,6.9,0.0,8.0,57.2
4.9,5.2,3.1,1.5,6.0,77.4
0.6,4.8,2.2,1.0,9.0,61.0
1.8,7.3,2.8,0.5,5.0,55.5
4.9,8.6,0.0,0.0,10.0,93.4
6.0,9.5,1.4,0.5,10.0,99.5
4.8,6.3,1.9,0.5,8.0,76.7
4.3,8.6,1.8,0.0,8.0,82.4
3.9,6.9,2.8,1.0,6.0,65.3
1.5,6.7,1.6,2.0,10.0,73.5
3.1,8.3,4.4,0.5,5.0,63.6
3.6,8.0,2.6,1.0,6.0,60.1
6.6,4.6,2.3,0.0,6.0,86.6
5.2,9.2,2.0,0.5,10.0,86.9
1.0,9.1,3.1,0.0,9.0,55.1
5.1,6.1,3.7,1.0,5.0,81.3
3.7,7.6,1.3,1.5,7.0,72.5
3.1,7.7,1.7,1.0,7.0,66.5
5.7,7.4,2.0,0.0,6.0,81.6
6.6,6.2,0.3,0.5,10.0,100.0
6.4,6.0,1.1,0.5,5.0,84.5
2.8,7.0,2.0,0.5,10.0,80.6
3.9,8.8,3.9,1.5,10.0,83.2
5.2,7.8,2.9,1.5,10.0,79.0
6.5,6.4,2.6,1.0,6.0,84.5
3.5,8.2,3.9,0.5,7.0,65.8
4.1,3.0,2.4,0.0,4.0,68.4
2.3,8.7,3.4,0.0,7.0,48.1
2.1,4.4,2.6,0.5,8.0,77.4
6.1,6.5,2.8,0.5,10.0,96.1
7.2,5.3,1.4,1.0,5.0,91.3
4.4,5.1,0.0,1.0,7.0,86.8
6.5,8.7,2.1,0.0,8.0,100.0
5.2,6.3,4.6,0.5,4.0,74.7
3.2,7.5,4.1,0.0,9.0,75.3
5.2,6.9,3.9,0.0,6.0,76.0
7.6,7.7,4.1,1.5,7.0,94.2
4.4,7.1,2.7,0.0,7.0,72.5
7.6,5.1,2.5,0.5,5.0,86.2
0.0,8.5,2.1,0.0,8.0,48.4
6.1,6.3,1.9,1.5,7.0,82.5
4.7,4.7,3.5,0.5,6.0,73.6
3.9,6.4,4.4,0.0,6.0,58.4
4.7,9.3,2.3,0.5,9.0,84.2
0.5,8.3,2.3,1.0,10.0,61.4
4.1,6.5,2.6,2.0,8.0,80.4
5.2,6.5,3.4,0.0,9.0,81.0
7.5,6.5,0.1,1.5,5.0,100.0
3.5,10.0,0.0,1.5,9.0,88.3
2.9,7.6,1.9,1.5,6.0,61.3
3.5,7.6,0.8,1.0,5.0,70.5
6.3,8.5,1.6,1.0,7.0,86.9
5.2,7.4,2.3,0.5,10.0,83.7
3.4,6.6,2.0,1.0,9.0,70.2
5.5,6.7,4.6,0.5,8.0,84.3
4.7,6.9,3.0,1.0,4.0,67.3
6.4,6.9,2.8,0.5,7.0,92.5
3.1,8.1,3.6,1.0,8.0,75.2
3.8,7.1,0.9,1.5,8.0,86.3
3.7,8.1,4.2,0.0,4.0,56.6
1.6,6.9,2.7,1.5,6.0,60.9
5.1,7.1,3.5,0.5,7.0,82.0
5.0,4.0,0.9,1.5,8.0,84.3
4.5,8.4,0.2,0.5,4.0,68.8
4.0,7.5,3.8,0.5,7.0,79.8
1.7,8.5,3.4,1.5,8.0,64.2
3.7,3.0,1.3,0.0,8.0,78.4
3.8,10.0,1.3,1.5,10.0,79.7
2.9,6.8,4.4,0.5,8.0,60.7
4.2,8.7,0.8,0.5,7.0,74.7
5.3,5.4,4.9,0.5,3.0,67.3
8.3,7.9,0.8,0.5,7.0,96.8
4.8,5.4,3.5,0.5,9.0,82.0
5.0,6.1,2.0,0.0,10.0,78.6
4.4,9.9,3.5,0.0,10.0,75.5
0.7,6.7,2.1,0.0,8.0,59.4
4.4,7.3,2.3,2.0,8.0,85.0
4.6,8.3,2.6,2.0,7.0,78.2
9.4,7.7,0.6,0.5,8.0,100.0
4.1,7.2,3.7,1.0,10.0,75.9
5.1,7.5,1.7,0.5,6.0,77.2
4.4,10.0,2.2,1.0,10.0,88.3
2.2,6.9,1.3,1.5,7.0,71.4
6.8,7.3,0.0,1.5,10.0,100.0
6.0,8.6,2.1,0.5,5.0,75.6
6.1,8.7,6.0,1.0,9.0,88.4
2.7,8.8,3.9,0.0,6.0,56.2
7.3,8.0,2.2,2.0,5.0,89.4
1.7,5.3,2.4,0.0,8.0,68.2
5.7,9.5,2.5,1.0,10.0,96.6
8.9,5.3,2.9,1.0,5.0,99.3
2.5,7.5,1.0,1.0,5.0,56.6
3.4,5.9,4.3,0.0,7.0,67.5
4.7,6.9,3.6,1.5,7.0,83.6
3.5,7.5,3.7,0.0,9.0,71.1
1.4,7.5,3.5,1.0,9.0,69.4
4.6,7.6,2.6,0.0,8.0,85.2
2.4,9.4,3.8,0.5,10.0,78.0
5.4,7.7,3.3,0.5,8.0,85.0
2.7,6.6,2.2,0.5,7.0,69.3
7.6,8.4,1.4,0.0,5.0,98.1
2.9,8.8,2.9,0.0,8.0,70.3
